candidate_id,file_path,raw_source_path,width,height,top_margin,bottom_margin,left_margin,right_margin,cutoff_risk,source_already_clipped,looks_like_gear5,wrong_form_reason,review_status,reject_reason,notes
ruffy_gear5_reextract_0001,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0001.png,assets/source/pet1_ruffy_gear5_source.png,271,280,27,0,48,36,true,false,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0002,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0002.png,assets/source/pet1_ruffy_gear5_source.png,281,280,20,0,41,35,true,false,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0003,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0003.png,assets/source/pet1_ruffy_gear5_source.png,280,280,19,0,37,40,true,false,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0004,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0004.png,assets/source/pet1_ruffy_gear5_source.png,278,267,48,3,29,48,true,false,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template. | missing_or_illogical_left_arm_visual_review"
ruffy_gear5_reextract_0005,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0005.png,assets/source/pet1_ruffy_gear5_source.png,262,280,18,6,6,48,false,false,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0006,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0006.png,assets/source/pet1_ruffy_gear5_source.png,278,281,0,30,48,38,true,true,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template. | bad_toes_feet_visual_review"
ruffy_gear5_reextract_0007,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0007.png,assets/source/pet1_ruffy_gear5_source.png,281,281,0,22,41,19,true,true,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0008,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0008.png,assets/source/pet1_ruffy_gear5_source.png,280,281,24,30,22,39,false,false,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0009,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0009.png,assets/source/pet1_ruffy_gear5_source.png,281,281,44,19,3,0,true,false,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0010,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0010.png,assets/source/pet1_ruffy_gear5_source.png,252,281,18,22,0,48,true,false,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template. | bad_toes_and_left_knee_visual_review"
