candidate_id,file_path,raw_source_path,width,height,top_margin,bottom_margin,left_margin,right_margin,cutoff_risk,source_already_clipped,looks_like_gear2,wrong_form_reason,review_status,reject_reason,notes
ruffy_gear2_reextract_0001,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0001.png,assets/source/pet1_ruffy_gear2_source.png,251,251,27,12,41,29,false,false,true,,approved,,approved for ruffy gear2 source_approved
ruffy_gear2_reextract_0002,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0002.png,assets/source/pet1_ruffy_gear2_source.png,251,251,29,13,34,20,false,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear2 source_approved
ruffy_gear2_reextract_0003,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0003.png,assets/source/pet1_ruffy_gear2_source.png,250,251,27,13,41,28,false,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear2 source_approved
ruffy_gear2_reextract_0004,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0004.png,assets/source/pet1_ruffy_gear2_source.png,251,234,48,19,14,0,true,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear2 source_approved
ruffy_gear2_reextract_0005,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0005.png,assets/source/pet1_ruffy_gear2_source.png,251,248,48,22,0,40,true,false,false,gear5_white_hair_or_clothing,rejected,missing_arm_skin_visual_review,run_01 removed after final visual review; visible missing skin/arm segment
ruffy_gear2_reextract_0006,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0006.png,assets/source/pet1_ruffy_gear2_source.png,251,251,47,33,30,0,true,false,false,gear5_white_hair_or_clothing,rejected,wrong_character_silhouette_visual_review,hat/character silhouette not clean enough for approved Gear2 source
ruffy_gear2_reextract_0007,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0007.png,assets/source/pet1_ruffy_gear2_source.png,251,250,48,31,0,16,true,false,true,,rejected,missing_hand_visual_review,land_01 removed after final visual review; hand incomplete / missing
ruffy_gear2_reextract_0008,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0008.png,assets/source/pet1_ruffy_gear2_source.png,250,235,48,25,33,13,false,false,false,gear5_white_hair_or_clothing,rejected,bad_anatomy_visual_review,ground_crouch_01 removed after final visual review; arm/shoulder path behind head and over shirt is anatomically/logically unclear and not suitable for runtime
ruffy_gear2_reextract_0009,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0009.png,assets/source/pet1_ruffy_gear2_source.png,251,251,14,24,38,0,true,false,true,,rejected,neighbor_fragment_right_visual_review,visible right-edge fragment; not safe for approved source
ruffy_gear2_reextract_0010,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0010.png,assets/source/pet1_ruffy_gear2_source.png,251,251,31,26,0,34,true,false,true,,rejected,missing_arm_skin_visual_review,kick_01 removed after final visual review; visible missing skin/arm segment
ruffy_gear2_reextract_0011,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0011.png,assets/source/pet1_ruffy_gear2_source.png,251,250,46,34,18,9,false,false,false,gear5_white_hair_or_clothing,rejected,missing_skin_or_clothing_visual_review,low_charge_01 removed after final visual review; visible missing skin or clothing segment
ruffy_gear2_reextract_0012,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0012.png,assets/source/pet1_ruffy_gear2_source.png,251,250,28,29,41,33,false,false,true,,approved,,approved for ruffy gear2 source_approved
ruffy_gear2_reextract_0013,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0013.png,assets/source/pet1_ruffy_gear2_source.png,250,250,28,27,23,18,false,false,false,gear5_white_hair_or_clothing,rejected,wrong_form_gear3_like_arm_visual_review,"inflated fist/arm reads as Gear3, not Gear2"
ruffy_gear2_reextract_0014,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0014.png,assets/source/pet1_ruffy_gear2_source.png,251,250,33,31,14,0,true,false,true,,rejected,neighbor_fragment_right_visual_review,visible right-edge fragment; not safe for approved source
ruffy_gear2_reextract_0015,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0015.png,assets/source/pet1_ruffy_gear2_source.png,251,250,33,24,0,35,true,false,false,gear5_white_hair_or_clothing,approved,,approved for ruffy gear2 source_approved
ruffy_gear2_reextract_0016,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0016.png,assets/source/pet1_ruffy_gear2_source.png,251,251,35,42,24,5,false,false,true,,approved,,approved for ruffy gear2 source_approved
ruffy_gear2_reextract_0017,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0017.png,assets/source/pet1_ruffy_gear2_source.png,251,251,30,35,28,15,false,false,true,,rejected,bad_pose_visual_review,pose is visually unclear/grenzwertig; not useful enough for approved Gear2 source
ruffy_gear2_reextract_0018,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0018.png,assets/source/pet1_ruffy_gear2_source.png,250,251,15,25,45,37,false,false,true,,rejected,missing_skin_or_clothing_visual_review,smile_01 removed after final visual review; visible missing skin/clothing near left shoulder/upper arm
ruffy_gear2_reextract_0019,assets/review/candidates/ruffy_gear2_reextract/ruffy_gear2_reextract_0019.png,assets/source/pet1_ruffy_gear2_source.png,251,251,16,24,23,36,false,false,true,,rejected,missing_skin_or_clothing_visual_review,shout_powerup_01 removed after final visual review; visible missing skin or clothing segment
