candidate_id,file_path,raw_source_path,width,height,top_margin,bottom_margin,left_margin,right_margin,cutoff_risk,source_already_clipped,review_status,reject_reason,notes
ruffy_normal_reextract_0001,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0001.png,assets/source/pet1_ruffy_base_source.png,222,251,30,5,48,42,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0002,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0002.png,assets/source/pet1_ruffy_base_source.png,227,251,28,5,48,48,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0003,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0003.png,assets/source/pet1_ruffy_base_source.png,231,251,28,5,48,48,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0004,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0004.png,assets/source/pet1_ruffy_base_source.png,231,251,33,5,34,48,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0005,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0005.png,assets/source/pet1_ruffy_base_source.png,227,251,32,5,48,48,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0006,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0006.png,assets/source/pet1_ruffy_base_source.png,222,251,25,10,48,48,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0007,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0007.png,assets/source/pet1_ruffy_base_source.png,221,251,26,5,48,44,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0008,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0008.png,assets/source/pet1_ruffy_base_source.png,223,251,24,7,48,48,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0009,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0009.png,assets/source/pet1_ruffy_base_source.png,228,251,41,12,48,48,false,false,rejected,bad_pose_visual_review,"sit_01 removed after final visual review; unnatural sitting pose, hand placement and body posture not suitable for runtime"
ruffy_normal_reextract_0010,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0010.png,assets/source/pet1_ruffy_base_source.png,228,251,36,19,34,48,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0011,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0011.png,assets/source/pet1_ruffy_base_source.png,230,250,15,16,48,32,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0012,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0012.png,assets/source/pet1_ruffy_base_source.png,230,250,23,16,48,24,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0013,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0013.png,assets/source/pet1_ruffy_base_source.png,243,250,30,0,47,48,false,false,rejected,bad_cut_neighbor_fragment_bottom,visible neighboring fragment or bottom contamination in review sheet; do not approve
ruffy_normal_reextract_0014,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0014.png,assets/source/pet1_ruffy_base_source.png,230,250,23,26,35,48,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0015,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0015.png,assets/source/pet1_ruffy_base_source.png,231,250,11,29,29,48,false,false,approved,,approved for ruffy normal source_approved
ruffy_normal_reextract_0016,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0016.png,assets/source/pet1_ruffy_base_source.png,230,251,11,0,48,36,false,false,rejected,bad_cut_neighbor_fragment_bottom,visible neighboring fragment or bottom contamination in review sheet; do not approve
ruffy_normal_reextract_0017,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0017.png,assets/source/pet1_ruffy_base_source.png,234,251,9,0,48,48,false,false,rejected,bad_cut_neighbor_fragment_bottom,visible neighboring fragment or bottom contamination in review sheet; do not approve
ruffy_normal_reextract_0018,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0018.png,assets/source/pet1_ruffy_base_source.png,245,251,0,0,43,48,true,true,rejected,bad_cut_neighbor_fragment_bottom,visible neighboring fragment or bottom contamination in review sheet; do not approve
ruffy_normal_reextract_0019,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0019.png,assets/source/pet1_ruffy_base_source.png,251,251,33,0,23,48,false,false,rejected,bad_cut_neighbor_fragment_bottom,visible neighboring fragment or bottom contamination in review sheet; do not approve
ruffy_normal_reextract_0020,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0020.png,assets/source/pet1_ruffy_base_source.png,251,251,22,0,33,45,false,false,rejected,neighbor_fragment_bottom_visual_review,rest_01 removed after final visual review
ruffy_normal_reextract_0021,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0021.png,assets/source/pet1_ruffy_base_source.png,249,234,0,48,40,48,true,true,needs_fix,minimal_cutoff_visual_review,sit_wave_01 removed from approved; candidate may need cleaner re-extraction
ruffy_normal_reextract_0022,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0022.png,assets/source/pet1_ruffy_base_source.png,222,226,0,48,48,48,true,true,needs_fix,minimal_cutoff_visual_review,crouch_01 removed from approved; candidate may need cleaner re-extraction
ruffy_normal_reextract_0023,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0023.png,assets/source/pet1_ruffy_base_source.png,250,241,0,48,32,38,true,true,needs_fix,minimal_cutoff_visual_review,confused_01 removed from approved; candidate may need cleaner re-extraction
ruffy_normal_reextract_0024,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0024.png,assets/source/pet1_ruffy_base_source.png,249,241,0,48,31,48,true,true,rejected,top_cutoff_risk_raised_hands,raised hands too close to or beyond top boundary; not safe for approved source
ruffy_normal_reextract_0025,assets/review/candidates/ruffy_normal_reextract/ruffy_normal_reextract_0025.png,assets/source/pet1_ruffy_base_source.png,220,222,0,48,28,48,true,true,rejected,wrong_cut_visual_review,inspect_ground_01 removed after final visual review
